source,destination
,FME_NULL_VALUE
FME_NULL_VALUE,FME_NULL_VALUE
abbeville,Abbeville
acadia parish,Acadia Parish
accomack,Accomack
ada,Ada
adair,Adair
adams,Adams
addison,Addison
adjuntas municipio,Adjuntas Municipio
aguada municipio,Aguada Municipio
aguadilla municipio,Aguadilla Municipio
aguas buenas municipio,Aguas Buenas Municipio
aibonito municipio,Aibonito Municipio
aiken,Aiken
aitkin,Aitkin
alachua,Alachua
alamance,Alamance
alameda,Alameda
alamosa,Alamosa
albany,Albany
albemarle,Albemarle
alcona,Alcona
alcorn,Alcorn
aleutians east borough,Aleutians East Borough
aleutians west census area,Aleutians West Census Area
alexander,Alexander
alexandria city,Alexandria city
alfalfa,Alfalfa
alger,Alger
allamakee,Allamakee
allegan,Allegan
allegany,Allegany
alleghany,Alleghany
allegheny,Allegheny
allen,Allen
allen parish,Allen Parish
allendale,Allendale
alpena,Alpena
alpine,Alpine
amador,Amador
amelia,Amelia
amherst,Amherst
amite,Amite
anasco municipio,Anasco Municipio
anchorage municipality,Anchorage Municipality
anderson,Anderson
andrew,Andrew
andrews,Andrews
androscoggin,Androscoggin
angelina,Angelina
anne arundel,Anne Arundel
anoka,Anoka
anson,Anson
antelope,Antelope
antrim,Antrim
apache,Apache
appanoose,Appanoose
appling,Appling
appomattox,Appomattox
aransas,Aransas
arapahoe,Arapahoe
archer,Archer
archuleta,Archuleta
arecibo municipio,Arecibo Municipio
arenac,Arenac
arkansas,Arkansas
arlington,Arlington
armstrong,Armstrong
aroostook,Aroostook
arroyo municipio,Arroyo Municipio
arthur,Arthur
ascension parish,Ascension Parish
ashe,Ashe
ashland,Ashland
ashley,Ashley
ashtabula,Ashtabula
asotin,Asotin
assumption parish,Assumption Parish
atascosa,Atascosa
atchison,Atchison
athens,Athens
atkinson,Atkinson
atlantic,Atlantic
atoka,Atoka
attala,Attala
audrain,Audrain
audubon,Audubon
auglaize,Auglaize
augusta,Augusta
aurora,Aurora
austin,Austin
autauga,Autauga
avery,Avery
avoyelles parish,Avoyelles Parish
baca,Baca
bacon,Bacon
bailey,Bailey
baker,Baker
baldwin,Baldwin
ballard,Ballard
baltimore,Baltimore
baltimore city,Baltimore city
bamberg,Bamberg
bandera,Bandera
banks,Banks
banner,Banner
bannock,Bannock
baraga,Baraga
barber,Barber
barbour,Barbour
barceloneta municipio,Barceloneta Municipio
barnes,Barnes
barnstable,Barnstable
barnwell,Barnwell
barranquitas municipio,Barranquitas Municipio
barren,Barren
barron,Barron
barrow,Barrow
barry,Barry
bartholomew,Bartholomew
barton,Barton
bartow,Bartow
bastrop,Bastrop
bates,Bates
bath,Bath
baxter,Baxter
bay,Bay
bayamon municipio,Bayamon Municipio
bayfield,Bayfield
baylor,Baylor
beadle,Beadle
bear lake,Bear Lake
beaufort,Beaufort
beauregard parish,Beauregard Parish
beaver,Beaver
beaverhead,Beaverhead
becker,Becker
beckham,Beckham
bedford,Bedford
bedford city,Bedford city
bee,Bee
belknap,Belknap
bell,Bell
belmont,Belmont
beltrami,Beltrami
ben hill,Ben Hill
benewah,Benewah
bennett,Bennett
bennington,Bennington
benson,Benson
bent,Bent
benton,Benton
benzie,Benzie
bergen,Bergen
berkeley,Berkeley
berks,Berks
berkshire,Berkshire
bernalillo,Bernalillo
berrien,Berrien
bertie,Bertie
bethel census area,Bethel Census Area
bexar,Bexar
bibb,Bibb
bienville parish,Bienville Parish
big horn,Big Horn
big stone,Big Stone
billings,Billings
bingham,Bingham
black hawk,Black Hawk
blackford,Blackford
bladen,Bladen
blaine,Blaine
blair,Blair
blanco,Blanco
bland,Bland
bleckley,Bleckley
bledsoe,Bledsoe
blount,Blount
blue earth,Blue Earth
boise,Boise
bolivar,Bolivar
bollinger,Bollinger
bon homme,Bon Homme
bond,Bond
bonner,Bonner
bonneville,Bonneville
boone,Boone
borden,Borden
bosque,Bosque
bossier parish,Bossier Parish
botetourt,Botetourt
bottineau,Bottineau
boulder,Boulder
boundary,Boundary
bourbon,Bourbon
bowie,Bowie
bowman,Bowman
box butte,Box Butte
box elder,Box Elder
boyd,Boyd
boyle,Boyle
bracken,Bracken
bradford,Bradford
bradley,Bradley
branch,Branch
brantley,Brantley
braxton,Braxton
brazoria,Brazoria
brazos,Brazos
breathitt,Breathitt
breckinridge,Breckinridge
bremer,Bremer
brevard,Brevard
brewster,Brewster
briscoe,Briscoe
bristol,Bristol
bristol bay borough,Bristol Bay Borough
bristol city,Bristol city
broadwater,Broadwater
bronx,Bronx
brooke,Brooke
brookings,Brookings
brooks,Brooks
broome,Broome
