source,destination
,FME_NULL_VALUE
FME_NULL_VALUE,FME_NULL_VALUE
ac,Access
acc,Access
access,Access
acres,Acres
alc,Alcove
alcove,Alcove
alcv,Alcove
al,Alley
allee,Alley
alley,Alley
ally,Alley
aly,Alley
anex,Annex
annex,Annex
annx,Annex
anx,Annex
app,Approach
appr,Approach
apprch,Approach
approach,Approach
apr,Approach
arc,Arcade
arcade,Arcade
arroyo,Arroyo
ary,Arroyo
avenida,Avenida
avienda,Avenida
av,Avenue
ave,Avenue
ave*,Avenue
ave.,Avenue
avea,Avenue
aven,Avenue
avenu,Avenue
avenue,Avenue
avenue extension,Avenue
avn,Avenue
avnue,Avenue
bah,Bahia
bahia,Bahia
bay,Bay
by,Bay
bayo,Bayou
bayoo,Bayou
bayou,Bayou
byu,Bayou
bch,Beach
beach,Beach
bend,Bend
bnd,Bend
blf,Bluff
bluf,Bluff
bluff,Bluff
blfs,Bluffs
bluffs,Bluffs
bot,Bottom
bottm,Bottom
bottom,Bottom
btm,Bottom
bl,Boulevard
bldv,Boulevard
blvd,Boulevard
boul,Boulevard
boulevard,Boulevard
boulevard extension,Boulevard
boulv,Boulevard
br,Branch
branch,Branch
brnch,Branch
brdge,Bridge
brg,Bridge
bridge,Bridge
brk,Brook
brook,Brook
brks,Brooks
brooks,Brooks
biar,Bureau Of Indian Affairs Route
bureau of indian affairs route,Bureau Of Indian Affairs Route
bg,Burg
burg,Burg
bgs,Burgs
burgs,Burgs
byp,Bypass
bypa,Bypass
bypas,Bypass
bypass,Bypass
byps,Bypass
calle,Calle
cll,Calle
clle,Calle
caminito,Caminito
cmt,Caminito
cam,Camino
camino,Camino
camp,Camp
cmp,Camp
cp,Camp
canyn,Canyon
canyon,Canyon
cnyn,Canyon
cyn,Canyon
cape,Cape
cpe,Cape
causeway,Causeway
causwa,Causeway
cswy,Causeway
cen,Center
cent,Center
center,Center
centr,Center
centre,Center
cnter,Center
cntr,Center
ctr,Center
centers,Centers
ctrs,Centers
cer,Cerrada
cerrada,Cerrada
chase,Chase
ci,Circle
cir,Circle
cir ,Circle
circ,Circle
circl,Circle
circle,Circle
cr,Circle
crcl,Circle
crcle,Circle
circles,Circles
cirs,Circles
circulo,Circulo
clf,Cliff
cliff,Cliff
clfs,Cliffs
cliffs,Cliffs
clos,Close
close,Close
clb,Club
club,Club
cmn,Common
common,Common
cmns,Commons
commons,Commons
conc,Concourse
concourse,Concourse
cnctr,Connector
con,Connector
conn,Connector
connector,Connector
cor,Corner
corner,Corner
corners,Corners
cors,Corners
corte,Corte
crte,Corte
cfr,County Forest Road
county forest road,County Forest Road
co hwy,County Highway
county highway,County Highway
cnrd,County Road
co rd,County Road
county road,County Road
custer county road,County Road
dawson county road,County Road
dwcr,County Road
old county,County Road
cnrt,County Route
county route,County Route
course,Course
crse,Course
court,Court
crt,Court
ct,Court
ct.,Court
courts,Courts
cts,Courts
cove,Cove
cv,Cove
cve,Cove
coves,Coves
cvs,Coves
creek,Creek
crk,Creek
cres,Crescent
crescent,Crescent
crsent,Crescent
crsnt,Crescent
crest,Crest
crst,Crest
crossing,Crossing
crsg,Crossing
crssng,Crossing
xg,Crossing
xing,Crossing
crossroad,Crossroad
xrd,Crossroad
crossroads,Crossroads
xrds,Crossroads
curv,Curve
curve,Curve
dale,Dale
dl,Dale
dam,Dam
dm,Dam
div,Divide
divide,Divide
dv,Divide
dvd,Divide
dns,Downs
downs,Downs
dwns,Downs
draw,Draw
drw,Draw
dr,Drive
dr.,Drive
driv,Drive
drive,Drive
drive extension,Drive
drv,Drive
drives,Drives
drs,Drives
end,End
ent,Entrada
entrada,Entrada
espl,Esplanade
esplanade,Esplanade
est,Estate
estate,Estate
estates,Estates
ests,Estates
exc,Exchange
exch,Exchange
exchange,Exchange
exchg,Exchange
exp,Expressway
expr,Expressway
express,Expressway
expressway,Expressway
expwy,Expressway
expw,Expressway
expy,Expressway
ext,Extension
extension,Extension
extn,Extension
extnsn,Extension
extensions,Extensions
exts,Extensions
fw,Fairway
fway,Fairway
fall,Fall
fll,Fall
falls,Falls
fls,Falls
fash,Federal-Aid Secondary Highway
federal-aid secondary highway,Federal-Aid Secondary Highway
ferry,Ferry
frry,Ferry
fry,Ferry
field,Field
fld,Field
fields,Fields
flds,Fields
flat,Flat
flt,Flat
flats,Flats
flts,Flats
ford,Ford
frd,Ford
fords,Fords
frds,Fords
forest,Forest
forests,Forest
frst,Forest
forg,Forge
forge,Forge
frg,Forge
forges,Forges
frgs,Forges
fork,Fork
frk,Fork
forks,Forks
frks,Forks
fort,Fort
